Date,Evaluations,PercentualReturns,PercentuakRiskReturns
2024-01-02,10000.0,-0.37227591449544684,-11.049850041481225
2024-01-03,9964.481119458818,0.18477218130204848,2.2017748852310044
2024-01-04,10008.315012796094,-0.3482753077298929,-9.812928140306429
2024-01-05,9968.237482081322,-0.2549134907918684,-5.884327589461292
2024-01-08,9981.229037264507,0.013424624910767199,-0.1442431848638156
2024-01-09,10000.472612575459,-1.011088386342297,-13.385204015473892
2024-01-10,9955.464030537338,0.28953256983720654,3.2490779340484286
2024-01-11,10012.075768179122,-0.9254425800399033,-13.122900065507176
2024-01-12,9955.911208894007,-1.049951369918056,-1.7690809798562035
2024-01-16,9994.64627456188,-0.42407943600413717,-6.376226410565057
2024-01-17,9975.89878253797,0.05617066546454339,0.9903901188720061
2024-01-18,10005.17291088938,0.4528607260934318,6.90667682433583
2024-01-19,10032.047031444206,-0.6454662517537614,-1.7539376299078913
2024-01-22,9992.67847771061,-0.28556185598422607,-3.11928893248066
2024-01-23,9985.843885361312,-0.002182658571968323,-0.2176799727721807
2024-01-24,9999.883443873912,-0.9322884833266635,-9.135337911000388
2024-01-25,9954.96904697379,0.29142146518072615,0.9681391777435847
2024-01-26,10005.815689212966,0.0,-0.19467228090525904
2024-01-29,10000.0,1.6041214769672403,9.60761267400718
2024-01-30,10046.80200173625,1.85216964124164,6.2201102260866765
2024-01-31,10029.532739523502,-2.102294883157861,-40.042821950811785
